MCC,RUC,UIC,UNIT NAME,STREET ADDRESS,"CITY, STATE",ZIPCODE,DPI
D88,81227,M81227,I-I STF CO L 3DBN 25THMAR 4THMARDIV,7221 SECOND STREET,COLUMBUS OH,43217,16
D93,87229,M87229,I-I STF 4TH LDGSPTBN 4THMLG,BOX 339500,FORT LEWIS WA,98433,16
E52,14664,null,SITE SUPPORT AUGUSTA GA,2869 CENTRAL AVE,AUGUSTA GA,30909,17
E53,83268,M83268,I-I STF H&S CO(-) 4THMAINTBN 4THMLG,6115 N HILLS CIRCLE,CHARLOTTE NC,28213,16
E54,81180,M81180,SITE SUPPORT (ERIE PA) 25TH MARREGT 4THMARDIV,3938 OLD FRENCH ROAD,ERIE PA,16504,16
E55,83263,M83263,SITE SUPPORT (MEMPHIS) MARFORRES,3114 JACKSON AVE,MEMPHIS TN,38112,16
E56,29075,null,PWST/SITE SUPPORT SACRAMENTO CA,NMCRTC 8277 ELDER CREEK RD,SACRAMENTO CA,95828,17
E59,14123,null,SITE SUPPORT LATHROP CA,PO BOX 215,LATHROP CA,95330,17
E67,74860,null,PWST/SITE SUPPORT DYESS AFB TX,DYESS AFB 220 2ND STREET,ABILENE TX,79607,17
E70,85217,null,24TH MARINE REGIMENT,3805 E 155TH ST BLDG 710,KANSAS CITY MO,64147,16
E71,80217,M80217,I-I STF HQCO 25THMAR 4THMARDIV,4 LEXINGTON STREET BOX 140,FORT DEVENS MA,01434,16
E73,81236,M81236,I-I STF MTCONTMAINTSEC MTMAINTCO,1400 POSTAL ROAD,ALLENTOWN PA,18109,16
E74,81220,M81220,I-I STF COMMCO HQBN 4THMARDIV,3190 GILBERT AVENUE,CINCINNATI OH,45207,16
E75,87278,M87278,I-I STF 3DANGLICO/ANGF PLT COMMCO,5631 RICKENBACKER ROAD,BELL CA,90201,16
E76,14101,null,PWST 23D MARINES SAN BRUNO,NMCRC 900 COMMODORE LANE,SAN BRUNO CA,94066,17
E78,46550,null,PWST 24THMAR RICHARD GEBAUER,3805 EAST 155TH ST BLDG 710,KANSAS CITY MO,64147,17
E82,80217,null,25TH MARINE REGIMENT 4TH MARDIV,640 PLANTATION ST,WORCESTER MA,01605,16
E84,21628,null,PWST/SITE SUPPORT WEST PALM BEACH FL,MCRTC 1226 MARINE DR,WEST PALM BEACH FL,33409,17
E86,81252,M81252,SITE SPT (EBENSBURG PA) 25THMARREGT 4THMARDIV,261 INDUSTRIAL PARK ROAD,EBENSBURG PA,15931,16
E91,29057,null,PWST/SITE SUPPORT SAVANNAH GA,62 LEONARD-NEAL STREET BLDG 1281 SUITE 100,HUNTER AAF GA,31409,17
E92,29058,null,PWST/SITE SUPPORT WILMINGTON NC,MCB BLDG RR 120 STONE BAY,CAMP LEJEUNE NC,28542,17
E93,04052,M14551,H&S CO 4TH LSB 4TH MLG,P.O. BOX 428,CEIBA PR,00735,17
E94,84140,M84140,I-I STF DET CO C 1STBN 23DMAR 4MARDIV,1300 TEEGE AVE AFRTC USMCR,HARLINGEN TX,78550,16
E95,83190,M83190,I-I STF DET 1 SUPCO 4THSUPBN 4THMLG,MCLB 814 RADFORD BOULEVARD SUITE 20338,ALBANY GA,31704,16
E99,83185,M83185,I-I STF K BTRY 2NDBN 14THMAR 4THMARDIV,3506 S MEMORIAL PARKWAY,HUNTSVILLE AL,35801,16
F01,22321,null,SITE SUPPORT PORTLAND OR,NMCRTC 6735 N BASIN AVE,PORTLAND OR,97217,17
F11,85281,M85281,SITE SPT (SOUTH BEND IN) CLR-45 4TH MLG,1901 SOUTH KEMBLE AVE,SOUTH BEND IN,46613,16
F23,29074,null,PWST/SITE SUPPORT OMAHA NE,30TH & LAUREL STREETS,OMAHA NE,68111,17
F99,82266,M82266,I-I STF H&SCO MEDLOGCO 4THSUPBN 4THMLG,7401 WARWICK BLVD,NEWPORT NEWS VA,23607,16
G01,03000,null,4THMAW,4400 DAUPHINE ST NAS,NEW ORLEANS LA,70146,16
G02,20001,MS9935,CNAF,1775 FORRESTAL DRIVE,NORFOLK VA,23551,02
G10,03004,M03004,MAG-49 DET A 4THMAW,420 BEALE ROAD BLDG 2071,ROBINS AFB GA,31098,16
G12,03003,null,DET A MAG-49 4TH MAW,NAF 1 SAN DIEGO LOOP BLDG 3188,ANDREWS AFB MD,20762,16
